"";"t0";"t1";"Dist";"Var1";"Var2";"Var3";"Var4"
"42001";349,79018796267;396;0,196942625131055;0;0,25;0,55;0,2
"103741";349,79018796267;396;0,196656670876611;0;0,25;0,2;0,55
"676211";349,79018796267;396;0,196422424086458;0;0,35;0,3;0,35
"231011";349,79018796267;396;0,196088867284458;0;0,4;0,5;0,1
"50821";349,79018796267;396;0,196011112847946;0;0,25;0,5;0,25
"31461";349,79018796267;396;0,195929698957732;0,1;0,35;0,4;0,15
"94921";349,79018796267;396;0,195781084115384;0;0,25;0,25;0,5
"59641";349,79018796267;396;0,195365787401944;0;0,25;0,45;0,3
"86101";349,79018796267;396;0,195217381441788;0;0,25;0,3;0,45
"68461";349,79018796267;396;0,195014281398154;0;0,25;0,4;0,35
"77281";349,79018796267;396;0,194963073338229;0;0,25;0,35;0,4
"45811";349,79018796267;396;0,194733756959651;0,1;0,4;0,5;0
"94501";349,79018796267;396;0,194564523342057;0;0,3;0,2;0,5
"49541";349,79018796267;396;0,194504681131105;0,05;0,35;0,35;0,25
"22641";349,79018796267;396;0,194394368220984;0,1;0,35;0,45;0,1
"138411";349,79018796267;396;0,194367001377896;0,05;0,4;0,5;0,05
"49961";349,79018796267;396;0,193524431477491;0,05;0,3;0,4;0,25
"588011";349,79018796267;396;0,193251426377958;0;0,35;0,35;0,3
"13821";349,79018796267;396;0,193074763549456;0,1;0,35;0,5;0,05
"41141";349,79018796267;396;0,192789569601711;0,05;0,3;0,45;0,2
"142811";349,79018796267;396;0,192668595443239;0;0,4;0,55;0,05
"5861";349,79018796267;396;0,192402542259449;0,05;0,3;0,65;0
"32321";349,79018796267;396;0,192312168755574;0,05;0,3;0,5;0,15
"40721";349,79018796267;396;0,192186084770248;0,05;0,35;0,4;0,2
"85681";349,79018796267;396;0,192165703345823;0;0,3;0,25;0,45
"23501";349,79018796267;396;0,192090493901524;0,05;0,3;0,55;0,1
"5001";349,79018796267;396;0,191972477549719;0,1;0,35;0,55;0
"50211";349,79018796267;396;0,191548165744411;0,05;0,4;0,55;0
"499811";349,79018796267;396;0,190294663271248;0;0,35;0,4;0,25
"31901";349,79018796267;396;0,190087583928741;0,05;0,35;0,45;0,15
"76861";349,79018796267;396;0,190032289895695;0;0,3;0,3;0,4
"54611";349,79018796267;396;0,189427549199532;0;0,4;0,6;0
"23081";349,79018796267;396;0,188213396593803;0,05;0,35;0,5;0,1
"68041";349,79018796267;396;0,18816907526459;0;0,3;0,35;0,35
"411611";349,79018796267;396;0,187558846083619;0;0,35;0,45;0,2
"59221";349,79018796267;396;0,186579953978701;0;0,3;0,4;0,3
"14261";349,79018796267;396;0,186567156271282;0,05;0,35;0,55;0,05
"50401";349,79018796267;396;0,185267819024221;0;0,3;0,45;0,25
"323411";349,79018796267;396;0,185050356644125;0;0,35;0,5;0,15
"41581";349,79018796267;396;0,184234473960986;0;0,3;0,5;0,2
"32761";349,79018796267;396;0,183480565237157;0;0,3;0,55;0,15
"6301";349,79018796267;396;0,182883826957296;0;0,3;0,7;0
"15121";349,79018796267;396;0,182807619628967;0;0,3;0,65;0,05
"235211";349,79018796267;396;0,182775143542087;0;0,35;0,55;0,1
"5881";349,79018796267;396;0,178945534715348;0;0,35;0,65;0
"42841";379,79018796267;426;0,0902367884073988;0;0,15;0,65;0,2
"6241";379,79018796267;426;0,0899087218132024;0,15;0,15;0,7;0
"51201";379,79018796267;426;0,0896269916649258;0,1;0,1;0,55;0,25
"34001";379,79018796267;426;0,0893687496841606;0,05;0,1;0,7;0,15
"157461";379,79018796267;426;0,0888256119277346;0,1;0,05;0;0,85
"24321";379,79018796267;426;0,0873867496737586;0,1;0,15;0,65;0,1
"25621";379,79018796267;426;0,0869827900036282;0;0,1;0,8;0,1
"95301";379,79018796267;426;0,0865299258654616;0,1;0,1;0,3;0,5
"33581";379,79018796267;426;0,0864123272400696;0,05;0,15;0,65;0,15
"60021";379,79018796267;426;0,0861239101857242;0,1;0,1;0,5;0,3
"113381";379,79018796267;426;0,0842257404311193;0,05;0,1;0,25;0,6
"86481";379,79018796267;426;0,0841093436697226;0,1;0,1;0,35;0,45
"68841";379,79018796267;426;0,0839483240987275;0,1;0,1;0,45;0,35
"131881";379,79018796267;426;0,0835722929130833;0;0,05;0,25;0,7
"15501";379,79018796267;426;0,0833632574734517;0,1;0,15;0,7;0,05
"77661";379,79018796267;426;0,0832490684584516;0,1;0,1;0,4;0,4
"140261";379,79018796267;426;0,0831962347711706;0,05;0,05;0,15;0,75
"42821";379,79018796267;426;0,0829174232404054;0,05;0,1;0,65;0,2
"122641";379,79018796267;426;0,0828578402564961;0;0,1;0,25;0,65
"34021";379,79018796267;426;0,0824063449494706;0;0,15;0,7;0,15
"24761";379,79018796267;426;0,0804518140276665;0,05;0,15;0,7;0,1
"6681";379,79018796267;426;0,0804005500481119;0,1;0,15;0,75;0
"34441";379,79018796267;426;0,0788468777914965;0;0,1;0,75;0,15
"104561";379,79018796267;426;0,0781654273341862;0,05;0,1;0,3;0,55
"51641";379,79018796267;426;0,077461787098871;0,05;0,1;0,6;0,25
"149081";379,79018796267;426;0,0763068574254584;0,05;0,05;0,1;0,8
"15941";379,79018796267;426;0,0754410353836585;0,05;0,15;0,75;0,05
"25201";379,79018796267;426;0,0752701402882867;0;0,15;0,75;0,1
"95741";379,79018796267;426;0,0735905890010183;0,05;0,1;0,35;0,5
"60461";379,79018796267;426;0,0732698966695593;0,05;0,1;0,55;0,3
"140701";379,79018796267;426;0,0728281013647803;0;0,05;0,2;0,75
"157901";379,79018796267;426;0,0717441270101895;0,05;0,05;0,05;0,85
"7121";379,79018796267;426;0,0715510647208068;0,05;0,15;0,8;0
"43261";379,79018796267;426;0,0714439419769484;0;0,1;0,7;0,2
"86921";379,79018796267;426;0,0707280053173332;0,05;0,1;0,4;0,45
"69281";379,79018796267;426;0,0706163221270359;0,05;0,1;0,5;0,35
"166721";379,79018796267;426;0,0701699759159488;0,05;0,05;0;0,9
"78101";379,79018796267;426;0,0697289684268784;0,05;0,1;0,45;0,4
"16381";379,79018796267;426;0,0690125691139266;0;0,15;0,8;0,05
"105001";379,79018796267;426;0,0670935280709363;0;0,1;0,35;0,55
"52081";379,79018796267;426;0,0650728667888582;0;0,1;0,65;0,25
"7561";379,79018796267;426;0,0638595031490313;0;0,15;0,85;0
"149521";379,79018796267;426;0,0632984715441228;0;0,05;0,15;0,8
"96181";379,79018796267;426;0,0613738981190052;0;0,1;0,4;0,5
"87361";379,79018796267;426;0,057607034950147;0;0,1;0,45;0,45
"69721";379,79018796267;426;0,0570072755010903;0;0,1;0,55;0,35
"78541";379,79018796267;426;0,056114633324825;0;0,1;0,5;0,4
"158341";379,79018796267;426;0,0558217043828624;0;0,05;0,1;0,85
"175981";379,79018796267;426;0,0515776028234561;0;0,05;0;0,95
"167161";379,79018796267;426;0,0515537767058892;0;0,05;0,05;0,9
"121761";410,79018796267;457;0,0441919172375032;0,1;0,1;0,15;0,65
"67961";410,79018796267;457;0,0439956129328519;0,2;0,1;0,35;0,35
"163811";410,79018796267;457;0,043701917200669;0;0,15;0,8;0,05
"4921";410,79018796267;457;0,0435832372569075;0,3;0,15;0,55;0
"32261";410,79018796267;457;0,0425717667808645;0,2;0,15;0,5;0,15
"247611";410,79018796267;457;0,0424916384830479;0,05;0,15;0,7;0,1
"32701";410,79018796267;457;0,0417789284409834;0,15;0,15;0,55;0,15
"103241";410,79018796267;457;0,0409066408951814;0,2;0,1;0,15;0,55
"23001";410,79018796267;457;0,040526175255433;0,25;0,15;0,5;0,1
"600211";410,79018796267;457;0,0397448463549988;0,1;0,1;0,5;0,3
"604611";410,79018796267;457;0,039017433906185;0,05;0,1;0,55;0,3
"76781";410,79018796267;457;0,0382539416736779;0,2;0,1;0,3;0,4
"94421";410,79018796267;457;0,0363680744671902;0,2;0,1;0,2;0,5
"14181";410,79018796267;457;0,035484942176668;0,25;0,15;0,55;0,05
"85601";410,79018796267;457;0,0354390481852935;0,2;0,1;0,25;0,45
"75611";410,79018796267;457;0,0352342572923709;0;0,15;0,85;0
"243211";410,79018796267;457;0,0349972236936096;0,1;0,15;0,65;0,1
"68401";410,79018796267;457;0,0346420699396114;0,15;0,1;0,4;0,35
"1667211";410,79018796267;457;0,0344270706676129;0,05;0,05;0;0,9
"1133811";410,79018796267;457;0,0343543118783418;0,05;0,1;0,25;0,6
"23441";410,79018796267;457;0,0342512273604399;0,2;0,15;0,55;0,1
"1759811";410,79018796267;457;0,034232910181918;0;0,05;0;0,95
"1050011";410,79018796267;457;0,033928009410616;0;0,1;0,35;0,55
"697211";410,79018796267;457;0,0334206354426527;0;0,1;0,55;0,35
"5361";410,79018796267;457;0,0327119053440945;0,25;0,15;0,6;0
"159411";410,79018796267;457;0,0326519667266889;0,05;0,15;0,75;0,05
"112941";410,79018796267;457;0,0321020600485362;0,1;0,1;0,2;0,6
"688411";410,79018796267;457;0,0284484197701067;0,1;0,1;0,45;0,35
"103681";410,79018796267;457;0,0283852390029021;0,15;0,1;0,2;0,55
"692811";410,79018796267;457;0,0278464848977805;0,05;0,1;0,5;0,35
"961811";410,79018796267;457;0,0265846672765102;0;0,1;0,4;0,5
"785411";410,79018796267;457;0,0264198324103021;0;0,1;0,5;0,4
"77221";410,79018796267;457;0,0263413573005572;0,15;0,1;0,35;0,4
"155011";410,79018796267;457;0,0247628687439007;0,1;0,15;0,7;0,05
"873611";410,79018796267;457;0,0236338436561385;0;0,1;0,45;0,45
"71211";410,79018796267;457;0,0233829656934249;0,05;0,15;0,8;0
"1045611";410,79018796267;457;0,0227769139961811;0,05;0,1;0,3;0,55
"15061";410,79018796267;457;0,0226633915936242;0,15;0,15;0,65;0,05
"5801";410,79018796267;457;0,0223606844587869;0,2;0,15;0,65;0
"94861";410,79018796267;457;0,0220797119756566;0,15;0,1;0,25;0,5
"86041";410,79018796267;457;0,021292451294862;0,15;0,1;0,3;0,45
"104121";410,79018796267;457;0,0203412710287289;0,1;0,1;0,25;0,55
"776611";410,79018796267;457;0,0172961197608841;0,1;0,1;0,4;0,4
"781011";410,79018796267;457;0,0171304677043454;0,05;0,1;0,45;0,4
"66811";410,79018796267;457;0,0146069255337498;0,1;0,15;0,75;0
"62411";410,79018796267;457;0,0143878089413478;0,15;0,15;0,7;0
"957411";410,79018796267;457;0,0125132354126052;0,05;0,1;0,35;0,5
"953011";410,79018796267;457;0,00962048041490772;0,1;0,1;0,3;0,5
"869211";410,79018796267;457;0,00918640120691922;0,05;0,1;0,4;0,45
"864811";410,79018796267;457;0,00757414811657952;0,1;0,1;0,35;0,45
"20361";441,79018796267;488;0,0643661641143059;0,55;0,15;0,2;0,1
"92661";441,79018796267;488;0,0639412105907829;0,4;0,1;0;0,5
"38861";441,79018796267;488;0,0638864895140556;0,5;0,1;0,2;0,2
"10641";441,79018796267;488;0,0637894615764147;0,7;0,1;0,15;0,05
"83841";441,79018796267;488;0,0632050225541765;0,4;0,1;0,05;0,45
"29601";441,79018796267;488;0,0631673829433829;0,55;0,1;0,2;0,15
"37121";441,79018796267;488;0,0628576763831525;0,65;0,15;0;0,2
"9761";441,79018796267;488;0,0610656133299848;0,8;0,1;0,05;0,05
"10201";441,79018796267;488;0,0608313125122573;0,75;0,1;0,1;0,05
"11541";441,79018796267;488;0,0602299765726614;0,55;0,15;0,25;0,05
"56941";441,79018796267;488;0,0598279336468474;0,45;0,1;0,15;0,3
"2721";441,79018796267;488;0,0576005608532237;0,55;0,15;0,3;0
"19901";441,79018796267;488;0,0575840350427959;0,65;0,1;0,15;0,1
"28301";441,79018796267;488;0,0544518299801369;0,65;0,15;0,05;0,15
"47681";441,79018796267;488;0,0540523837242904;0,5;0,1;0,15;0,25
"18581";441,79018796267;488;0,0536494858907613;0,8;0,1;0;0,1
"65761";441,79018796267;488;0,0535015122487413;0,45;0,1;0,1;0,35
"19461";441,79018796267;488;0,052555937466369;0,7;0,1;0,1;0,1
"38421";441,79018796267;488;0,0519225193488395;0,55;0,1;0,15;0,2
"19021";441,79018796267;488;0,051075406989813;0,75;0,1;0,05;0,1
"27861";441,79018796267;488;0,0503681153558705;0,7;0,15;0;0,15
"74581";441,79018796267;488;0,0494024182579441;0,45;0,1;0,05;0,4
"83401";441,79018796267;488;0,0482383887889582;0,45;0,1;0;0,45
"19481";441,79018796267;488;0,0468705412996305;0,65;0,15;0,1;0,1
"2281";441,79018796267;488;0,046419986680872;0,6;0,15;0,25;0
"28721";441,79018796267;488;0,0456615195338026;0,65;0,1;0,1;0,15
"56501";441,79018796267;488;0,045160921472671;0,5;0,1;0,1;0,3
"27841";441,79018796267;488;0,0424869679919554;0,75;0,1;0;0,15
"28281";441,79018796267;488;0,041613292153415;0,7;0,1;0,05;0,15
"19041";441,79018796267;488;0,0414750899097244;0,7;0,15;0,05;0,1
"37981";441,79018796267;488;0,0413233478981188;0,6;0,1;0,1;0,2
"47241";441,79018796267;488;0,0409267313489462;0,55;0,1;0,1;0,25
"10661";441,79018796267;488;0,0405028721485679;0,65;0,15;0,15;0,05
"18601";441,79018796267;488;0,0396388051291355;0,75;0,15;0;0,1
"65321";441,79018796267;488;0,0380434905809775;0,5;0,1;0,05;0,35
"1841";441,79018796267;488;0,0359168209123312;0,65;0,15;0,2;0
"74141";441,79018796267;488;0,0340311448543953;0,5;0,1;0;0,4
"37541";441,79018796267;488;0,0336592907171401;0,65;0,1;0,05;0,2
"10221";441,79018796267;488;0,0334177722037952;0,7;0,15;0,1;0,05
"9341";441,79018796267;488;0,0316507861051205;0,8;0,15;0;0,05
"37101";441,79018796267;488;0,0314827895194604;0,7;0,1;0;0,2
"56061";441,79018796267;488;0,0306531185406904;0,55;0,1;0,05;0,3
"9781";441,79018796267;488;0,0300612362697281;0,75;0,15;0,05;0,05
"46801";441,79018796267;488;0,0292092676564542;0,6;0,1;0,05;0,25
"81";441,79018796267;488;0,0279812936345432;0,85;0,15;0;0
