"";"t0";"t1";"Dist";"Var1";"Var2";"Var3";"Var4"
"104981";683,79018796267;730;0,0438680100476766;0,05;0,05;0,35;0,55
"96161";683,79018796267;730;0,04236030375289;0,05;0,05;0,4;0,5
"93961";683,79018796267;730;0,0422673393643133;0,3;0,05;0,15;0,5
"6221";683,79018796267;730;0,0405774102590545;0,2;0,1;0,7;0
"7101";683,79018796267;730;0,0402087294135739;0,1;0,1;0,8;0
"68821";683,79018796267;730;0,0400074096780834;0,15;0,05;0,45;0,35
"78081";683,79018796267;730;0,0385186207956314;0,1;0,05;0,45;0,4
"6661";683,79018796267;730;0,0384289414619143;0,15;0,1;0,75;0
"113361";683,79018796267;730;0,037632496597996;0,1;0,05;0,25;0,6
"85141";683,79018796267;730;0,0368658091310692;0,3;0,05;0,2;0,45
"76321";683,79018796267;730;0,0366396345573412;0,3;0,05;0,25;0,4
"103221";683,79018796267;730;0,0350972948633086;0,25;0,05;0,15;0,55
"67941";683,79018796267;730;0,0349800252091744;0,25;0,05;0,35;0,35
"68381";683,79018796267;730;0,0345842160906011;0,2;0,05;0,4;0,35
"86901";683,79018796267;730;0,0300337903174193;0,1;0,05;0,4;0,45
"104541";683,79018796267;730;0,0291532815686898;0,1;0,05;0,3;0,55
"77641";683,79018796267;730;0,0272937852713798;0,15;0,05;0,4;0,4
"95721";683,79018796267;730;0,0261707487870108;0,1;0,05;0,35;0,5
"76761";683,79018796267;730;0,0254330657096263;0,25;0,05;0,3;0,4
"94401";683,79018796267;730;0,0250653449917167;0,25;0,05;0,2;0,5
"103661";683,79018796267;730;0,0219348599179834;0,2;0,05;0,2;0,55
"77201";683,79018796267;730;0,0213993634947943;0,2;0,05;0,35;0,4
"85581";683,79018796267;730;0,0210044255528908;0,25;0,05;0,25;0,45
"104101";683,79018796267;730;0,0190499380982139;0,15;0,05;0,25;0,55
"86461";683,79018796267;730;0,0155364576948466;0,15;0,05;0,35;0,45
"95281";683,79018796267;730;0,0103727558596047;0,15;0,05;0,3;0,5
"94841";683,79018796267;730;0,00894638783181342;0,2;0,05;0,25;0,5
"86021";683,79018796267;730;0,00891164120632489;0,2;0,05;0,3;0,45
