"time";"lambda_T";"B_Q1";"B_M";"B_Q3"
422;0,7;5,26377503576194;10;14,868112482119
267;4,88;9,42915025848436;10;14,4291502584844
271;0,08;5,11492335550631;10;17,2701532889874
353;1,64;5,68611588535729;8,62776822928542;10
377;0,48;5,34845450729669;10;10,6969090145934
385;0,16;5,62513370445086;8,74973259109829;10,6251337044509
414;0,58;5,00684362509656;15,0136872501931;27,5136872501931
429;0,3;5,50745026836358;10;16,4850994632728
477;0,96;5,1124874202817;9,77502515943659;14,7750251594366
494;0,34;5,86922060707052;8,26155878585895;13,3692206070705
46;0,8;6,00417782028649;7,99164435942702;12,008355640573
163;2,34;13,877510029818;17,7550200596361;22,7550200596361
167;0,08;5,44414446068264;9,11171107863472;13,3882889213653
262;1,9;13,9920191516086;21,4920191516086;28,9920191516086
296;0,68;5,05203292109802;10,052032921098;15,052032921098
313;0,34;6,41522983689017;10;12,8304596737803
333;0,4;6,74123463271091;10;13,4824692654218
361;0,56;5,39113591434088;9,21772817131824;10
489;2,56;5,70547125219028;8,58905749561945;10,7054712521903
43;0,84;5,56405641904604;8,87188716190791;11,1281128380921
77;0,68;6,59969721625365;10;13,1993944325073
84;0,14;5,32321444764498;10;10,64642889529
110;0,52;5,93174931667977;8,13650136664045;14,3634986333596
120;0,2;8,17097619734005;20,6709761973401;28,1709761973401
172;1,04;5,78869781358047;8,42260437283905;11,7113021864195
307;2,7;31,6940515166542;39,1940515166541;44,1940515166542
309;0,04;7,09551263998264;10;14,1910252799653
390;1,62;7,24981504696371;10;13,6249075234819
61;0,88;5,71964620471696;8,56070759056607;10,719646204717
72;0,22;7,35161420616941;10;14,7032284123388
123;1,02;6,0139681065314;10;14,4930159467343
128;0,1;5,72655109540391;13,5468978091922;28,5468978091922
192;1,28;5,9638483940476;8,07230321190481;10,9638483940476
239;0,94;7,4563741955598;12,4563741955598;17,4563741955598
248;0,18;5,916722221423;10,916722221423;15,916722221423
362;2,28;5,81550566007091;10;11,6310113201418
478;2,32;5,51371431945272;10;10,5137143194527
81;0,94;5,73322605973817;10;11,4664521194763
106;0,5;5,61065206626374;8,77869586747252;11,8893479337363
125;0,38;8,86850207067002;21,36850207067;28,86850207067
190;1,3;5,51018769275203;8,97962461449595;10,510187692752
