"time";"lambda_T";"B"
478;9,56;1,79421523316879
494;9,88;3,80087727984193
90;1,8;19,1097542654866
136;2,72;0,802784292501704
185;3,7;20,0399559606577
196;3,92;29,7983034366423
206;4,12;22,7965206612884
226;4,52;3,96929843432786
241;4,82;7,47541825236013
330;6,6;0,426158286458087
398;7,96;5,08808125725691
24;0,48;40,1793020069875
38;0,76;43,8834722603419
40;0,8;50,6623026025908
70;1,4;27,5756159298268
115;2,3;10,6564014665323
119;2,38;13,0450087569734
197;3,94;9,82415447706416
246;4,92;2,60841682448862
367;7,34;1,98887312694584
25;0,5;41,3489913345429
89;1,78;19,0285332317951
122;2,44;5,5147711667337
142;2,84;16,5746548770767
154;3,08;25,3124310378963
197;3,94;24,639163836672
281;5,62;8,44538019365196
443;8,86;28,5300345530978
484;9,68;10,2678321014247
167;3,34;28,8850814860502
194;3,88;27,7531368862554
213;4,26;11,4802321479143
278;5,56;7,56193173914693
330;6,6;14,6282041706482
352;7,04;9,3776500730426
387;7,74;9,81732346369151
393;7,86;29,7681395451499
403;8,06;33,9061479879159
157;3,14;5
246;4,92;8,30942199804004
254;5,08;22,0984297590219
273;5,46;23,6420594244632
344;6,88;12,9175933020547
390;7,8;2,20008284445574
426;8,52;22,8885031475004
487;9,74;11,7211027452128
488;9,76;10,3525106473517
90;1,8;15,4460442083692
112;2,24;5,4861527551023
139;2,78;18,5750486116378
178;3,56;14,2557850474369
244;4,88;8,10035915449643
337;6,74;2,03653553856072
345;6,9;9,84123099399176
363;7,26;2,04088970249307
402;8,04;15,3928856548335
13;0,26;46,7529577782698
43;0,86;35,4695736734613
63;1,26;32,6277595340437
210;4,2;23,6752556365224
317;6,34;15,0366305782175
417;8,34;10,2394900085483
418;8,36;36,7354350364501
488;9,76;11,6820946230161
490;9,8;12,0922672488342
94;1,88;11,8163208348193
130;2,6;2,70985389507691
144;2,88;17,7026518292577
266;5,32;15,0918902922954
277;5,54;27,9727860287664
308;6,16;21,0746958999507
320;6,4;24,7606294895573
365;7,3;6,66750645137744
385;7,7;16,3072406589212
113;2,26;16,0032332076104
249;4,98;3,25568941582218
298;5,96;13,6358274285712
355;7,1;13,9088124273647
361;7,22;6,06840754714898
388;7,76;15,7299686896564
425;8,5;21,4799375324419
438;8,76;28,4013789737886
448;8,96;24,7700902644402
110;2,2;10,0669588489589
115;2,3;7,67882516766016
148;2,96;10,8508862348371
165;3,3;33,6472249595388
223;4,46;10,3015494849578
416;8,32;13,4633516708064
428;8,56;34,3706827902317
457;9,14;23,7946927724401
481;9,62;7,48307230200097
25;0,5;39,5370655047685
263;5,26;18,9211801268069
279;5,58;27,3338147270896
282;5,64;32,3629416135129
286;5,72;35,559233776187
409;8,18;17,2722405855862
418;8,36;33,6818897757278
429;8,58;35,2151726310086
431;8,62;33,1708406848213
21;0,42;42,2289410826217
67;1,34;26,4939257004918
96;1,92;14,1504042955397
227;4,54;11,8928612661328
335;6,7;6,41092336956935
380;7,6;1,81954704574666
394;7,88;26,101117357688
454;9,08;16,3477869448863
464;9,28;14,7854002914163
55;1,1;42,3504391389209
117;2,34;13,2568264396501
150;3;18,2503436092787
163;3,26;33,7598754963522
232;4,64;7,98550796881428
249;4,98;10,552471178639
250;5;21,4689528949004
477;9,54;31,7874801958533
496;9,92;4,42317552820446
196;3,92;29,5911561236421
214;4,28;10,8579729046022
246;4,92;4,26159922139133
322;6,44;5,33737636775241
336;6,72;16,7626250018763
406;8,12;2,59741271920735
412;8,24;49,9500081566764
416;8,32;44,1487666625259
460;9,2;17,2879075675898
126;2,52;16,1265003763785
176;3,52;11,6819992512768
222;4,44;10,8487100269943
228;4,56;3,47610788934777
279;5,58;6,36452113067073
282;5,64;32,3629416135129
299;5,98;30,4535939005304
416;8,32;16,5399789839864
462;9,24;17,1251768460103
111;2,22;9,33755059366729
117;2,34;9,45293270892514
308;6,16;36,8086974367291
344;6,88;16,4769376966426
383;7,66;3,0084645522898
429;8,58;20,3984382745973
441;8,82;29,2549835403629
465;9,3;16,9295838863905
488;9,76;0,927706431959878
121;2,42;9,94166075867383
264;5,28;6,97575418138138
319;6,38;13,1992127235882
345;6,9;14,7734209510869
353;7,06;3,07944463978825
379;7,58;10,5129386982884
417;8,34;28,0429696233391
429;8,58;34,9210303866451
481;9,62;13,5377063008522
126;2,52;13,6019756921774
190;3,8;11,5295970548451
196;3,92;29,7459928489721
267;5,34;6,64975010807235
276;5,52;32,9991576514783
402;8,04;16,0624682116786
414;8,28;33,9411104071545
448;8,96;21,9686592670621
479;9,58;11,0630906745944
12;0,24;50,5356071600387
104;2,08;9,05741427181429
136;2,72;6,94177257815628
265;5,3;9,56943507978502
296;5,92;21,5199393549133
311;6,22;27,5735611417647
446;8,92;19,6289415633365
457;9,14;23,0499121978826
483;9,66;6,57513790542057
93;1,86;16,6356195746163
110;2,2;5,82628098984166
129;2,58;11,1854198998038
260;5,2;9,97270028237648
342;6,84;8,9285092717956
422;8,44;0,809175934690706
429;8,58;36,29994766171
464;9,28;17,8448178641253
499;9,98;0,421164180631564
84;1,68;21,5347787857553
175;3,5;12,1882986324067
266;5,32;13,349731682048
408;8,16;15
409;8,18;44,5418973611541
420;8,4;34,4114211182084
451;9,02;23,2481775231273
478;9,56;10,6524631019224
489;9,78;5,94886426875034
120;2,4;10,9430988387377
140;2,8;14,1179668468311
141;2,82;26,9511965690161
182;3,64;21,5137790229553
290;5,8;19,252271531778
350;7;14,9637621525883
404;8,08;3,85650401055735
475;9,5;13,4954940585903
482;9,64;0,636639761600022
42;0,84;30,1120809852069
114;2,28;15,6547850588224
130;2,6;14,2270918610175
136;2,72;22,8774291951375
213;4,26;4,49931416181109
268;5,36;1,59092755580775
344;6,88;11,5181178234105
354;7,08;3,04496855557553
405;8,1;6,75569584858158
86;1,72;22,5132469889009
130;2,6;1,32535154641772
194;3,88;14,5323458346573
262;5,24;5,15694651569798
300;6;16,5643845115079
318;6,36;23,9465040459131
346;6,92;14,6419447347656
442;8,84;4,95300653383056
458;9,16;23,3255009898862
31;0,62;49,6827519150586
56;1,12;32,9149870926433
65;1,3;34,6982819836228
116;2,32;11,5851402242649
220;4,4;3,35915357354582
329;6,58;11,2248350994517
339;6,78;14,4162247147856
388;7,76;3,41064419309717
398;7,96;28,266747162464
52;1,04;29,4647874537797
123;2,46;11,1206499570093
210;4,2;8,99852899162632
227;4,54;2,10731227108163
236;4,72;5,1903414988983
417;8,34;16,0817611493581
428;8,56;34,6784703510731
485;9,7;12,2668481509347
496;9,92;8,91135186634981
143;2,86;19,0299626343011
217;4,34;6,78641153647176
245;4,9;5,13834519093308
251;5,02;19,6080261359949
303;6,06;11,8529608167506
341;6,82;17,3433130415749
364;7,28;0,692995589696685
367;7,34;14,644638811596
375;7,5;16,3236280899941
16;0,32;49,757547052873
31;0,62;46,4884111126382
35;0,7;50,8453911365633
233;4,66;27,7694357143075
278;5,56;8,7469566013454
315;6,3;22,998452725593
346;6,92;15,1422507556034
417;8,34;8,81270700954207
470;9,4;16,1862668719047
102;2,04;10,921989380237
154;3,08;1,55058376524968
155;3,1;37,0515991356466
338;6,76;32,3534179577017
356;7,12;4,65087151719869
362;7,24;7,17151199450368
399;7,98;13,0175939021683
434;8,68;24,6674575455545
441;8,82;29,7458567968019
134;2,68;8,50186994258056
166;3,32;26,7697415900834
218;4,36;11,3321264872137
224;4,48;0,232936082223283
237;4,74;4,18137943725898
287;5,74;11,1788577177967
310;6,2;25,0442612768075
311;6,22;29,6573043412638
453;9,06;22,2666638313872
95;1,9;15,5233583880457
104;2,08;5
184;3,68;5
300;6;28,6781967663633
301;6,02;31,676046588635
304;6,08;32,4982557688232
317;6,34;24,4093796596934
411;8,22;10
494;9,88;14,559306167867
74;1,48;28,9305437094324
113;2,26;10,3498630720401
120;2,4;12,4522450867211
245;4,9;1,26231131030894
307;6,14;10,0990977951073
357;7,14;12,6060079786657
362;7,24;7,72091334490964
368;7,36;14,0650182602849
398;7,96;16,0897981684514
28;0,56;43,2657077065426
51;1,02;35,4194894920887
203;4,06;29,7929048402368
290;5,8;10,8809271511766
298;5,96;33,0761979868784
345;6,9;16,4648039918712
349;6,98;4,95601413143
433;8,66;1,86441280758516
489;9,78;10,1629603761476
32;0,64;47,1706354333941
236;4,72;28,0524254577474
237;4,74;10,7294738794129
241;4,82;13,6574779097482
248;4,96;20,2940019549344
283;5,66;15,629908671243
293;5,86;23,7891497972618
356;7,12;13,6189983843193
484;9,68;3,12241981662322
69;1,38;22,5637150359695
78;1,56;23,4215162034092
92;1,84;17,9091365472133
159;3,18;5
243;4,86;9,42183653496403
