"";"x"
"1";0
"2";-0,0897991283738768
"3";-0,0871752922453305
"4";-0,0620996226459677
"5";0,0200463072614455
"6";0,168852134108512
"7";0,116874145048604
"8";0,239810331508609
"9";0,128913425785768
"10";0,108497935112417
"11";0,194393091975511
"12";0,343776244148943
"13";0,43448449707244
"14";0,360429334388396
"15";0,332062442108613
"16";0,178572710958589
"17";0,228862076655207
"18";0,357041996012689
"19";0,369366249710245
"20";0,321916292693338
"21";0,398739318308837
"22";0,513091826524937
"23";0,423941854349159
"24";0,241204215002531
"25";0,177205429502284
"26";0,0679979474452969
"27";-0,0291736793938783
"28";-0,00346001811902362
"29";-0,0236484666990091
"30";-0,146718518883484
"31";-0,0301446249373276
"32";-0,143213288896332
"33";-0,225833041971155
"34";-0,303821768275405
"35";-0,400078344309098
"36";-0,542105157275473
"37";-0,74380427808636
"38";-0,6494762838825
"39";-0,662126367678532
"40";-0,545706093991537
"41";-0,631451821739756
"42";-0,49718414452095
"43";-0,430776824563362
"44";-0,515776672121621
"45";-0,539149161338963
"46";-0,420485555523653
"47";-0,435916920044179
"48";-0,606599065808484
"49";-0,525732932161937
"50";-0,598997558455001
"51";-0,560104844823679
"52";-0,673677211489539
"53";-0,755561100302388
"54";-0,831087775214681
"55";-0,840952779852849
"56";-1,01384282181954
"57";-1,07651428151757
"58";-0,991747432308629
"59";-0,91898574258957
"60";-0,939245463415011
"61";-0,908706422457705
"62";-0,873808257457304
"63";-0,889847191200919
"64";-0,962211690488161
"65";-0,884516365870407
"66";-0,90391190014744
"67";-0,816312457136287
"68";-0,853166081533351
"69";-1,05768669673076
"70";-1,020829396635
"71";-0,817650563061014
"72";-0,700757931205733
"73";-0,695336819639423
"74";-0,681575866060266
"75";-0,733472309352471
"76";-0,811134810198135
"77";-0,703538070576103
"78";-0,882883037597624
"79";-0,982034798065095
"80";-0,983866399834714
"81";-1,11472678160899
"82";-1,18819297908353
"83";-1,27037200347049
"84";-1,42983402268835
"85";-1,6191670342273
"86";-1,70999067398079
"87";-1,55222291155553
"88";-1,69386533980306
"89";-1,69564842876639
"90";-1,64489274470638
"91";-1,65400894119822
"92";-1,77120475223228
"93";-1,84167296649229
"94";-1,9898162827404
"95";-2,0356091185575
"96";-2,0526530244752
"97";-2,08301172664592
"98";-2,15590612412346
"99";-2,09420607078434
"100";-2,03475239744403
"101";-2,11684352428697
"102";-2,10327772436363
"103";-1,99916204608419
"104";-1,95519820240475
"105";-1,83799139200736
"106";-1,96509960669795
"107";-1,80690775917685
"108";-1,92250509915269
"109";-1,93093059938367
"110";-1,95313927207328
"111";-1,98434099218965
"112";-2,14194429329449
"113";-2,03764511968904
"114";-2,11376666731039
"115";-2,189965343113
"116";-2,29061331097036
"117";-2,11422771188302
"118";-2,1619521775237
"119";-2,33951657771834
"120";-2,57164890101982
"121";-2,51377135880959
"122";-2,7010550283933
"123";-3,02003161111947
"124";-2,91992943856418
"125";-2,76119602697197
"126";-2,61349071907965
"127";-2,62076102486775
"128";-2,52567907043784
"129";-2,7472221396768
"130";-2,79304250700602
"131";-2,90879908647439
"132";-2,85073697469423
"133";-2,97517531477475
"134";-3,05001302344955
"135";-3,188857896511
"136";-3,18694657849825
"137";-3,17052871278152
"138";-3,2272474831392
"139";-3,31872144929457
"140";-3,57556305167707
"141";-3,58686641541869
"142";-3,52692198768235
"143";-3,58737982628451
"144";-3,59230890650079
"145";-3,47840121606918
"146";-3,44925913171549
"147";-3,52372813062323
"148";-3,73134756307202
"149";-3,61524200498847
"150";-3,6170907284594
"151";-3,7221330283697
"152";-3,74875845787074
"153";-3,62671112432012
"154";-3,73279581442543
"155";-3,68473335046336
"156";-3,70830044160133
"157";-3,66682617096682
"158";-3,79368918581685
"159";-3,66175205971935
"160";-3,59897870718104
"161";-3,70443770276163
"162";-3,63526645360948
"163";-3,59459413730409
"164";-3,49228343250863
"165";-3,47516246082501
"166";-3,39001618646602
"167";-3,47132479210905
"168";-3,4935555871667
"169";-3,49973838620581
"170";-3,50505208717806
"171";-3,47086630217188
"172";-3,40518896404933
"173";-3,33174160442269
"174";-3,44396738974876
"175";-3,50399642244419
"176";-3,58537931884264
"177";-3,61066985186675
"178";-3,6508281487174
"179";-3,72699097697762
"180";-3,66690747243831
"181";-3,6627534533883
"182";-3,52808998656338
"183";-3,55017599642687
"184";-3,52036667061146
"185";-3,51853897406465
"186";-3,66446211605593
"187";-3,78146923615943
"188";-3,7424131860268
"189";-3,71843724275719
"190";-3,54123863078099
"191";-3,56589837855116
"192";-3,44850733484717
"193";-3,4877645455087
"194";-3,35878325939012
"195";-3,32729377165305
"196";-3,28519322329746
"197";-3,31788640011329
"198";-3,37763349400417
"199";-3,503371259447
"200";-3,67406927673344
"201";-3,68352492304669
"202";-3,67225421778569
"203";-3,80605049649744
"204";-3,84100803768407
"205";-3,83279941151687
"206";-3,75973567634726
"207";-4,00967123022257
"208";-3,99081465738146
"209";-4,0367160716956
"210";-4,20779408448707
"211";-4,28055400225663
"212";-4,25260889733756
"213";-4,15975920859403
"214";-4,24765571224069
"215";-4,26994073929629
"216";-4,28500820496425
"217";-4,29669377415279
"218";-4,26379730273249
"219";-4,26492435517922
"220";-4,17910671153561
"221";-4,0359922971293
"222";-4,11507539418433
"223";-4,11099086576127
"224";-3,86941850699705
"225";-3,88633996183857
"226";-3,97282451058053
"227";-3,87554478051871
"228";-3,81711431325457
"229";-3,78061280820966
"230";-3,9524533370316
"231";-4,15173970013824
"232";-4,09975276268801
"233";-4,39804747108236
"234";-4,28869933835738
"235";-4,27911227144749
"236";-4,25275135679744
"237";-4,22339706513313
"238";-4,16757796194342
"239";-4,09891425097781
"240";-4,143213537392
"241";-4,23573413641882
"242";-4,28348627284049
"243";-4,22253570869915
"244";-4,25036950018035
"245";-4,06942432714368
"246";-4,03356656695092
"247";-3,88556728288937
"248";-3,79251820278821
"249";-3,87687622831925
"250";-3,89928768201416
"251";-3,93713436156543
"252";-3,92506840516778
"253";-3,90718257989426
"254";-3,80126886913161
"255";-3,85912637367575
"256";-3,79183359128579
"257";-3,90061584821104
"258";-4,03054344550085
"259";-3,98808163180094
"260";-4,00587511650327
"261";-3,94171904490944
"262";-4,00868404800604
"263";-4,1328622275163
"264";-4,10459605841619
"265";-4,17938117417361
"266";-4,29717627430984
"267";-4,30581587033379
"268";-4,39811104378642
"269";-4,43834830581575
"270";-4,61623726852372
"271";-4,63828398434023
"272";-4,76820053178018
"273";-4,75616635249321
"274";-4,57947117899287
"275";-4,73114229269962
"276";-4,71720823770057
"277";-4,6530371282405
"278";-4,75500297463424
"279";-4,86847751224026
"280";-4,86254458032236
"281";-5,0219399451903
"282";-5,02733161618094
"283";-5,03748263518263
"284";-4,94987960562704
"285";-4,94758576688386
"286";-4,89291988550181
"287";-4,88850349439357
"288";-4,95915578514508
"289";-4,74733244133226
"290";-4,77705909202612
"291";-4,81958703157646
"292";-4,91928410665978
"293";-4,87071799762562
"294";-4,8737428970966
"295";-4,94608703791652
"296";-4,92992088744723
"297";-4,9808938498919
"298";-4,89865306560693
"299";-4,99450725291171
"300";-5,03386454035724
"301";-5,01217176382628
"302";-4,88479651468442
"303";-4,8622960947303
"304";-4,79474107148985
"305";-4,74167365511851
"306";-4,68555508823631
"307";-4,65747012581814
"308";-4,61684261374651
"309";-4,71022580244952
"310";-4,86994083730535
"311";-4,93161032936332
"312";-4,92486495730862
"313";-5,01909738049044
"314";-5,06183953412707
"315";-5,02393152699705
"316";-5,10808342016917
"317";-5,1460258305519
"318";-5,05661739608246
"319";-5,02008141125481
"320";-5,20232597280145
"321";-5,20440414023378
"322";-5,32087641655
"323";-5,53103355216575
"324";-5,64274330911424
"325";-5,42657634000933
"326";-5,42536046593055
"327";-5,31594682634474
"328";-5,47991666866516
"329";-5,42700957172879
"330";-5,38758356398427
"331";-5,19731290837773
"332";-5,11242696060484
"333";-5,18881309743375
"334";-5,14294487072091
"335";-5,23698899081655
"336";-5,1301359350458
"337";-5,09745537969322
"338";-5,06575990954908
"339";-5,25688517258054
"340";-5,28845756074543
"341";-5,27082623896734
"342";-5,22017101171854
"343";-5,25776197724126
"344";-5,24338830886365
"345";-5,23407868896181
"346";-5,3205191339847
"347";-5,29885758552447
"348";-5,26588625783486
"349";-5,19794019676187
"350";-5,40093959872397
"351";-5,3880529720881
"352";-5,4885233114681
"353";-5,68659468707264
"354";-5,71460220435568
"355";-5,56163306529047
"356";-5,52785899139067
"357";-5,47945276607288
"358";-5,34089363195198
"359";-5,36550219454927
"360";-5,50233961042767
"361";-5,57837801099474
"362";-5,6213454261605
"363";-5,44992116541274
"364";-5,32134055375312
"365";-5,57260737241782
"366";-5,5073156837418
"367";-5,41659465234452
"368";-5,3838549454789
"369";-5,35217207753682
"370";-5,36793222819423
"371";-5,1906642619228
"372";-5,12837635352543
"373";-5,09440418591628
"374";-4,99742747231476
"375";-5,24208267470448
"376";-5,17806786695372
