"";"x"
"1";5
"2";5,06302192301174
"3";5,16374381465584
"4";5,06650781893816
"5";4,95681981458801
"6";4,86640275452749
"7";4,94019642782741
"8";5,09860118739185
"9";5,36049679660559
"10";5,37582908493589
"11";5,34991925635126
"12";5,30487636917699
"13";5,14113931191365
"14";5,18586364731918
"15";5,05667835965266
"16";5,06510276899416
"17";5,03267745572572
"18";4,98715916931895
"19";5,06850140061835
"20";4,973574443599
"21";4,90166470709488
"22";4,84186519110908
"23";4,89665056599185
"24";4,86245800035263
"25";4,86596298706988
"26";4,87037023988978
"27";4,84653629214653
"28";4,96730213036981
"29";5,0626803829594
"30";5,22795725890791
"31";4,94830873061371
"32";4,84636387902875
"33";4,81441327221971
"34";4,84434688840582
"35";4,77936326832208
"36";4,93464183729677
"37";4,92279778850247
"38";4,947065022795
"39";4,9683049187557
"40";4,98637496390906
"41";5,17139629618137
"42";5,1237457369236
"43";5,17480101146417
"44";5,02665185743833
"45";5,01028535447209
"46";4,95872963998616
"47";5,15665629733297
"48";5,16075455635429
"49";5,05710236009187
"50";4,95292297583767
"51";4,86442604911748
"52";4,97887567205761
"53";4,99088786490419
"54";4,88283422319159
"55";4,82333458683121
"56";4,88998220729716
"57";4,87327634786179
"58";4,7941564971973
"59";4,87664199322936
"60";4,82016758532073
"61";4,97510429998086
"62";5,00582378651675
"63";4,89383621132644
"64";5,04802226905442
"65";4,98264093589831
"66";5,04123858065881
"67";4,97995696860888
"68";5,01101740662371
"69";5,04202160046365
"70";5,08525952617154
"71";5,08245927802713
"72";5,09329155169201
"73";4,96134023298934
"74";4,84316990989273
"75";4,69409812328128
"76";4,79179204431522
"77";4,77633648013352
"78";4,80339985763612
"79";4,88258641056686
"80";4,73124891030413
"81";4,65694771166937
"82";4,73987196907404
"83";4,73689785140064
"84";4,76700320470145
"85";4,66918172804065
"86";4,54317562849872
"87";4,4994658594934
"88";4,41057855382379
"89";4,57463374741031
"90";4,5693566862998
"91";4,4747631380122
"92";4,50848139005988
