"time";"lambda_T";"B_Q1";"B_M";"B_Q3"
400;1;14,0124187329123;21,5124187329123;31,5124187329123
423;0,46;34,1021520440108;41,6021520440108;46,6021520440108
429;0,12;41,5477397974863;46,5477397974863;51,5477397974863
434;0,1;36,1037173172985;43,6037173172985;48,6037173172985
464;0,6;20,2440487567164;27,7440487567164;30,2440487567164
480;0,32;7,79971804125605;10,2997180412561;15,2997180412561
93;1,18;10,4422035073197;15,4422035073197;17,9422035073197
120;0,54;5,66939535845135;11,3387907169027;18,8387907169027
167;0,94;14,2260486266555;19,2260486266555;26,7260486266555
192;0,5;22,5998576357491;27,5998576357491;32,5998576357491
201;0,18;21,6085220772304;24,1085220772304;29,1085220772304
281;1,6;11,7034518000988;16,7034518000988;26,7034518000988
312;0,62;18,4775574064654;18,4775574064654;23,4775574064654
350;0,76;9,32576570164633;14,3257657016463;16,8257657016463
464;2,28;6,06635267688009;7,86729464623982;11,0663526768801
103;1,02;10;13,8624992592252;16,9312496296126
147;0,88;6,51441529201774;13,0288305840355;23,0288305840355
181;0,68;21,4139737451663;23,9139737451663;36,4139737451663
203;0,44;19,2186933467527;24,2186933467527;29,2186933467527
270;1,34;6,01710403598975;12,0342080719795;19,5342080719795
308;0,76;16,5655621270021;18,1311242540042;23,1311242540042
359;1,02;8,3727076935667;11,7454153871334;16,7454153871334
395;0,72;18,8048911474286;23,8048911474286;31,3048911474286
405;0,2;43,5622017511405;56,0622017511405;68,5622017511405
32;0,38;37,8343360784115;45,3343360784115;50,3343360784116
54;0,44;30,2772567680465;37,7772567680465;42,7772567680465
58;0,08;34,0140053708126;39,0140053708126;44,0140053708126
72;0,28;24,6876445958963;29,6876445958963;32,1876445958963
220;2,96;15,5489905208987;18,0489905208987;23,0489905208987
277;1,14;5,63053876351257;10;14,6847306182437
305;0,56;20,1298396882737;20,2596793765474;25,2596793765474
367;1,24;9,0213573119113;10;14,0213573119113
374;0,14;18,2060084161779;20,7060084161779;25,7060084161779
70;0,58;22,7819666472089;27,7819666472089;30,2819666472089
