"";"x"
"1";0
"2";0,120467886208282
"3";0,169557491750261
"4";0,182118288893313
"5";0,296005398142165
"6";0,197503067368486
"7";0,2364039529125
"8";0,418244108807982
"9";0,354787237356042
"10";0,316588864379685
"11";0,269418305397038
"12";0,0621542628457127
"13";0,102336090842142
"14";0,216297101701887
"15";0,292133363434921
"16";0,465301408555236
"17";0,539777162390665
"18";0,579480802715112
"19";0,764475698662932
"20";0,678424216896754
"21";0,658815147539816
"22";0,597744360954396
"23";0,589691363341785
"24";0,534628107488377
"25";0,363992996629516
"26";0,333188177475467
"27";0,265524263443375
"28";0,372170797469374
"29";0,567243793231562
"30";0,625021861931422
"31";0,52153300467787
"32";0,526613584329658
"33";0,562835663898247
"34";0,546202190537679
"35";0,586302555402831
"36";0,74536580860714
"37";0,821631325396471
"38";0,872823140615355
"39";0,994079931903729
"40";0,820698277635696
"41";0,783516307486597
"42";0,656648239772413
"43";0,674998333864001
"44";0,652209594857408
"45";0,658309584206436
"46";0,536797695696984
"47";0,702814641013999
"48";0,613000361123099
"49";0,701654037771393
"50";0,68257601208213
"51";0,720850174069718
"52";0,835313722404664
"53";0,939384710946006
"54";0,923273533066679
"55";0,946490259649213
"56";0,919598639619671
"57";1,1164934504085
"58";1,2499676150429
"59";1,36165695265615
"60";1,43879102255543
"61";1,55308532583894
"62";1,44633705403964
"63";1,44524028373043
"64";1,55526672462326
"65";1,45489079335587
"66";1,34004667503
"67";1,41657853511119
"68";1,44132408808753
"69";1,39892352440013
"70";1,35650812144438
"71";1,21236876813727
"72";1,22802742081771
"73";1,03302340631946
"74";1,05329022161045
"75";1,11124815401424
"76";1,27472339423008
"77";1,32667439975206
"78";1,36779703506095
"79";1,45985705429361
"80";1,36374929420843
"81";1,40292326932823
"82";1,36483245785135
"83";1,45109706937896
"84";1,63749023933369
"85";1,80643581926785
"86";1,73141771226304
"87";1,57397277473107
"88";1,62800756116593
"89";1,72484608238072
"90";1,53711949995557
"91";1,54035967823214
"92";1,44521768405016
"93";1,39876575115764
"94";1,43796307333274
"95";1,34330460197298
"96";1,41575962761737
"97";1,47436277408405
"98";1,51502669873158
"99";1,43317059752458
"100";1,25022722846251
"101";1,43413586390611
"102";1,477880093418
"103";1,60113866120505
"104";1,6263623684654
"105";1,48288541155763
"106";1,55391421718009
"107";1,69753434236071
"108";1,65778905720479
"109";1,57746640221204
"110";1,53668292417344
"111";1,54080313898549
"112";1,22840989697323
"113";1,2473958742689
"114";1,14024587782318
"115";1,25377202309564
"116";1,17075823844065
"117";1,14332484177943
"118";1,13325363206541
"119";1,17543414204821
"120";1,36605444894381
"121";1,36346323820847
"122";1,36046234554539
"123";1,34273787357763
"124";1,33503720565026
"125";1,25586903153704
"126";1,19176519128167
"127";1,16322368077709
"128";1,27782106605853
"129";1,29524084892441
"130";1,26376486032178
"131";1,20970583988829
"132";1,21882825721115
