"time";"lambda_T";"B"
275;5,5;16,6384035022457
326;6,52;1,53745914894305
359;7,18;2,61218201503442
478;9,56;6,79421523316879
494;9,88;1,19912272015807
90;1,8;0,890245734513381
136;2,72;5,8027842925017
185;3,7;4,96004403934227
196;3,92;0,201696563357732
206;4,12;2,20347933871163
226;4,52;3,96929843432786
241;4,82;2,52458174763987
330;6,6;10,4261582864581
398;7,96;5,08808125725691
24;0,48;0,179302006987539
38;0,76;1,11652773965809
40;0,8;0,66230260259076
70;1,4;2,42438407017319
115;2,3;0,656401466532314
119;2,38;1,95499124302661
197;3,94;10,1758455229358
246;4,92;7,60841682448862
367;7,34;3,01112687305416
25;0,5;1,3489913345429
89;1,78;0,971466768204939
122;2,44;4,4852288332663
142;2,84;3,42534512292327
154;3,08;0,312431037896301
197;3,94;5,36083616332797
281;5,62;13,445380193652
443;8,86;33,5300345530978
484;9,68;5,2678321014247
167;3,34;23,8850814860502
194;3,88;2,24686311374455
213;4,26;1,48023214791433
278;5,56;7,56193173914693
330;6,6;0,371795829351814
352;7,04;4,3776500730426
387;7,74;5,18267653630849
393;7,86;0,231860454850061
403;8,06;4,99999999999999
157;3,14;12,951714262617
246;4,92;8,30942199804004
254;5,08;2,90157024097809
273;5,46;1,35794057553683
344;6,88;2,08240669794527
390;7,8;2,79991715554426
426;8,52;2,11149685249957
487;9,74;6,72110274521277
488;9,76;0,352510647351728
90;1,8;4,5539557916308
112;2,24;0,486152755102295
139;2,78;5
178;3,56;5,74421495256313
244;4,88;8,10035915449643
337;6,74;12,9634644614393
345;6,9;0,15876900600824
363;7,26;2,95911029750693
402;8,04;5,39288565483351
13;0,26;3,24704222173018
43;0,86;4,53042632653876
63;1,26;2,3722404659563
210;4,2;28,6752556365224
317;6,34;20,0366305782175
417;8,34;10,2394900085483
418;8,36;6,73543503645012
488;9,76;1,68209462301609
490;9,8;2,90773275116583
94;1,88;1,81632083481928
130;2,6;5
144;2,88;2,29734817074231
266;5,32;15,0918902922954
277;5,54;2,02721397123355
308;6,16;3,92530410004927
320;6,4;0,239370510442716
365;7,3;1,66750645137744
385;7,7;3,69275934107876
113;2,26;5
249;4,98;3,25568941582218
298;5,96;6,3641725714288
355;7,1;3,90881242736467
361;7,22;3,93159245285102
388;7,76;4,27003131034356
425;8,5;3,52006246755811
438;8,76;1,5986210262114
448;8,96;0,229909735559819
110;2,2;0,0669588489588771
115;2,3;2,32117483233984
148;2,96;4,14911376516294
165;3,3;1,35277504046116
223;4,46;0,301549484957755
416;8,32;8,46335167080641
428;8,56;0,62931720976833
457;9,14;1,20530722755987
481;9,62;2,48307230200097
25;0,5;0,462934495231468
263;5,26;13,9211801268069
279;5,58;2,66618527291042
282;5,64;2,63705838648713
286;5,72;0,559233776187024
409;8,18;20
418;8,36;1,31811022427219
429;8,58;0,215172631008654
431;8,62;1,82915931517869
21;0,42;2,77105891737826
67;1,34;8,50607429950822
96;1,92;4,15040429553972
227;4,54;11,8928612661328
335;6,7;16,4109233695694
380;7,6;3,18045295425334
394;7,88;3,89888264231196
454;9,08;3,65221305511371
464;9,28;0,21459970858368
55;1,1;2,3504391389209
117;2,34;5
150;3;6,7496563907213
163;3,26;1,24012450364779
232;4,64;2,98550796881428
249;4,98;0,552471178639041
250;5;3,53104710509958
477;9,54;31,7874801958533
496;9,92;0,57682447179554
196;3,92;0,408843876357857
214;4,28;0,857972904602235
246;4,92;5,73840077860867
322;6,44;9,66262363224759
336;6,72;1,76262500187625
406;8,12;7,59741271920735
412;8,24;5
416;8,32;0,85123333747409
460;9,2;2,71209243241022
126;2,52;6,12650037637849
176;3,52;3,31800074872316
222;4,44;0,848710026994262
228;4,56;1,52389211065223
279;5,58;3,63547886932928
282;5,64;2,63705838648713
299;5,98;0,453593900530415
416;8,32;16,5399789839864
462;9,24;2,87482315398973
111;2,22;5
117;2,34;0,547067291074857
308;6,16;31,8086974367291
344;6,88;1,47693769664264
383;7,66;1,9915354477102
429;8,58;4,60156172540266
441;8,82;0,745016459637092
465;9,3;1,92958388639054
488;9,76;0,927706431959878
121;2,42;5
264;5,28;6,97575418138138
319;6,38;6,80078727641177
345;6,9;0,226579048913108
353;7,06;3,07944463978825
379;7,58;4,48706130171155
417;8,34;4,99999999999999
429;8,58;0,0789696133548828
481;9,62;3,53770630085215
126;2,52;5
190;3,8;8,47040294515489
196;3,92;0,254007151027922
267;5,34;11,6497501080723
276;5,52;2,00084234852169
402;8,04;11,0624682116786
414;8,28;1,05888959284552
448;8,96;3,03134073293787
479;9,58;1,06309067459443
12;0,24;0,535607160038648
104;2,08;0,942585728185706
136;2,72;3,05822742184372
265;5,3;9,56943507978502
296;5,92;3,48006064508669
311;6,22;2,57356114176468
446;8,92;24,6289415633365
457;9,14;1,95008780211738
483;9,66;1,57513790542057
93;1,86;6,63561957461628
110;2,2;5,82628098984166
129;2,58;1,18541989980382
260;5,2;9,97270028237648
342;6,84;6,07149072820441
422;8,44;10,8091759346907
429;8,58;1,29994766171005
464;9,28;2,8448178641253
499;9,98;0,421164180631564
84;1,68;5
175;3,5;17,1882986324067
266;5,32;13,349731682048
408;8,16;13,3463736645706
409;8,18;19,5418973611541
420;8,4;0,588578881791624
451;9,02;1,7518224768727
478;9,56;0,652463101922408
489;9,78;0,948864268750335
120;2,4;5,94309883873771
140;2,8;5
141;2,82;3,04880343098394
182;3,64;3,48622097704475
290;5,8;19,252271531778
350;7;0,0362378474116985
404;8,08;5
475;9,5;3,49549405859032
482;9,64;0,636639761600022
42;0,84;4,88791901479308
114;2,28;5,65478505882243
130;2,6;0,772908138982456
136;2,72;2,12257080486251
213;4,26;5,50068583818891
268;5,36;3,40907244419224
344;6,88;3,4818821765895
354;7,08;3,04496855557553
405;8,1;3,24430415141843
86;1,72;2,51324698890087
130;2,6;6,32535154641773
194;3,88;5,4676541653427
262;5,24;10,156946515698
300;6;3,43561548849211
318;6,36;1,05349595408686
346;6,92;0,358055265234377
442;8,84;14,9530065338306
458;9,16;3,32550098988621
31;0,62;0,317248084941443
56;1,12;2,08501290735667
65;1,3;0,301718016377184
116;2,32;1,58514022426485
220;4,4;8,35915357354582
329;6,58;16,2248350994517
339;6,78;0,583775285214391
388;7,76;6,58935580690282
398;7,96;1,73325283753596
52;1,04;5,53521254622028
123;2,46;11,1206499570093
210;4,2;6,00147100837369
227;4,54;2,10731227108163
236;4,72;4,8096585011017
417;8,34;11,0817611493581
428;8,56;0,321529648926908
485;9,7;7,26684815093466
496;9,92;1,08864813365019
143;2,86;14,0299626343011
217;4,34;3,21358846352824
245;4,9;4,86165480906692
251;5,02;0,391973864005113
303;6,06;8,14703918324942
341;6,82;2,65668695842507
364;7,28;4,30700441030332
367;7,34;0,355361188403994
375;7,5;3,67637191000593
16;0,32;0,242452947126989
31;0,62;1,4884111126382
35;0,7;0,845391136563317
233;4,66;27,7694357143075
278;5,56;1,2530433986546
315;6,3;2,001547274407
346;6,92;0,142250755603438
417;8,34;6,18729299045793
470;9,4;1,18626687190471
102;2,04;9,07801061976305
154;3,08;8,44941623475033
155;3,1;2,94840086435343
338;6,76;37,3534179577017
356;7,12;0,349128482801314
362;7,24;2,82848800549632
399;7,98;1,98240609783168
434;8,68;0,332542454445502
441;8,82;0,254143203198143
134;2,68;5
166;3,32;3,23025840991661
218;4,36;1,33212648721374
224;4,48;0,232936082223283
237;4,74;0,818620562741024
287;5,74;3,82114228220335
310;6,2;0,0442612768074703
311;6,22;0,342695658736214
453;9,06;27,2666638313872
95;1,9;5,52335838804574
104;2,08;8,67654074185848
184;3,68;7,40954256407075
300;6;23,6781967663633
301;6,02;1,676046588635
304;6,08;2,50174423117679
317;6,34;0,590620340306647
411;8,22;8,38235418558197
494;9,88;4,55930616786698
74;1,48;1,06945629056761
113;2,26;0,349863072040096
120;2,4;7,4522450867211
245;4,9;1,26231131030894
307;6,14;9,90090220489266
357;7,14;2,6060079786657
362;7,24;2,27908665509036
368;7,36;0,934981739715082
398;7,96;6,08979816845143
28;0,56;1,73429229345737
51;1,02;4,58051050791127
203;4,06;29,7929048402368
290;5,8;15,8809271511766
298;5,96;1,92380201312163
345;6,9;1,46480399187125
349;6,98;0,0439858685700012
433;8,66;11,8644128075852
489;9,78;5,16296037614756
32;0,64;2,17063543339414
236;4,72;23,0524254577474
237;4,74;0,72947387941292
241;4,82;1,34252209025183
248;4,96;0,294001954934403
283;5,66;4,37009132875696
293;5,86;1,21085020273823
356;7,12;3,61899838431928
484;9,68;8,12241981662322
69;1,38;2,43628496403051
78;1,56;3,42151620340922
92;1,84;2,09086345278666
159;3,18;11,285542742841
243;4,86;9,42183653496403
328;6,56;9,82850706445254
372;7,44;5,53167849969439
384;7,68;0,0110534535632228
479;9,58;2,21411547581244
81;1,62;2,99381039103778
192;3,84;21,4321194158135
281;5,62;15,4568733649684
384;7,68;8,63251874760015
401;8,02;2,4078296694079
403;8,06;1,7645974767994
446;8,92;6,38362137169035
470;9,4;0,274893577352195
480;9,6;2,26991964598215
125;2,5;3,25328830873692
130;2,6;6,04433867539808
147;2,94;0,541940475668143
205;4,1;5
221;4,42;1,3019700534447
226;4,52;2,96492110120524
352;7,04;15,005423286782
389;7,78;3,96335182895848
427;8,54;2,24341790917157
85;1,7;0,538515844812101
210;4,2;19,2007647959925
255;5,1;7,49333679470967
286;5,72;3,63757799177047
333;6,66;3,41539897032703
447;8,94;19,8046410509597
462;9,24;1,79334501949594
466;9,32;1,81271710635286
491;9,82;3,89730396378139
113;2,26;5,71929007647489
293;5,86;21,0597300957724
350;7;0,161259989551858
400;8;3,48758126708766
423;8,46;3,39784795598925
429;8,58;3,45226020251371
434;8,68;1,39628268270155
464;9,28;2,74404875671638
480;9,6;0,299718041256052
93;1,86;5,44220350731971
120;2,4;3,66120928309729
167;3,34;5,77395137334447
192;3,84;2,40014236425091
201;4,02;4,10852207723039
281;5,62;11,7034518000988
312;6,24;1,52244259353456
350;7;0,674234298353667
464;9,28;17,1327053537602
103;2,06;3,8624992592252
147;2,94;6,97116941596452
181;3,62;1,08602625483367
203;4,06;0,781306653247326
270;5,4;7,0342080719795
308;6,16;1,86887574599578
359;7,18;1,74541538713341
395;7,9;1,19510885257138
405;8,1;6,06220175114051
32;0,64;0,334336078411546
54;1,08;2,22274323195351
58;1,16;0,985994629187426
72;1,44;0,312355404103715
220;4,4;23,0489905208987
277;5,54;4,36946123648743
305;6,1;4,74032062345257
367;7,34;4,02135731191129
374;7,48;0,706008416177922
70;1,4;2,21803335279106
72;1,44;0,810951976081009
197;3,94;23,820318904234
210;4,2;3,27141040001418
319;6,38;19,3119313709594
386;7,72;6,29593627522335
408;8,16;47,5635305017588
423;8,46;0,043466873058283
479;9,58;4,39995168165214
47;0,94;3,04343251055857
58;1,16;2,17161516263469
138;2,76;12,5111858213667
147;2,94;0,767398802933067
164;3,28;2,27358188048536
174;3,48;1,55726889521217
318;6,36;29,2193482050098
335;6,7;2,39891037130521
